"","Churn","SeniorCitizen","tenure","MonthlyCharges","TotalCharges","gender_Male","Partner_Yes","Dependents_Yes","PhoneService_Yes","MultipleLines_No.phone.service","MultipleLines_Yes","InternetService_Fiber.optic","InternetService_No","OnlineSecurity_No.internet.service","OnlineSecurity_Yes","OnlineBackup_No.internet.service","OnlineBackup_Yes","DeviceProtection_No.internet.service","DeviceProtection_Yes","TechSupport_No.internet.service","TechSupport_Yes","StreamingTV_No.internet.service","StreamingTV_Yes","StreamingMovies_No.internet.service","StreamingMovies_Yes","Contract_One.year","Contract_Two.year","PaperlessBilling_Yes","PaymentMethod_Credit.card..automatic.","PaymentMethod_Electronic.check","PaymentMethod_Mailed.check"
"1","No","-0.4398853","-1.27735389","-1.1602405389","-9.940935e-01","-1.0094870"," 1.0344568","-0.6539655","-3.0537936"," 3.0537936","-0.8541155","-0.8855969","-0.525890","-0.525890","-0.633888","-0.525890"," 1.3781427","-0.525890","-0.7239161","-0.525890","-0.6393932","-0.525890","-0.7900756","-0.525890","-0.7960136","-0.5142129","-0.5629351"," 0.8297386","-0.5250101"," 1.4063185","-0.5447682"
"2","No","-0.4398853"," 0.06632271","-0.2596105096","-1.733740e-01"," 0.9904615","-0.9665537","-0.6539655"," 0.3274151","-0.3274151","-0.8541155","-0.8855969","-0.525890","-0.525890"," 1.577342","-0.525890","-0.7255112","-0.525890"," 1.3811794","-0.525890","-0.6393932","-0.525890","-0.7900756","-0.525890","-0.7960136"," 1.9444438","-0.5629351","-1.2050277","-0.5250101","-0.7109755"," 1.8353823"
"3","Yes","-0.4398853","-1.23663642","-0.3626346089","-9.595373e-01"," 0.9904615","-0.9665537","-0.6539655"," 0.3274151","-0.3274151","-0.8541155","-0.8855969","-0.525890","-0.525890"," 1.577342","-0.525890"," 1.3781427","-0.525890","-0.7239161","-0.525890","-0.6393932","-0.525890","-0.7900756","-0.525890","-0.7960136","-0.5142129","-0.5629351"," 0.8297386","-0.5250101","-0.7109755"," 1.8353823"
"4","No","-0.4398853"," 0.51421491","-0.7464824627","-1.948889e-01"," 0.9904615","-0.9665537","-0.6539655","-3.0537936"," 3.0537936","-0.8541155","-0.8855969","-0.525890","-0.525890"," 1.577342","-0.525890","-0.7255112","-0.525890"," 1.3811794","-0.525890"," 1.5637607","-0.525890","-0.7900756","-0.525890","-0.7960136"," 1.9444438","-0.5629351","-1.2050277","-0.5250101","-0.7109755","-0.5447682"
"5","Yes","-0.4398853","-1.23663642"," 0.1973512212","-9.403395e-01","-1.0094870","-0.9665537","-0.6539655"," 0.3274151","-0.3274151","-0.8541155"," 1.1290216","-0.525890","-0.525890","-0.633888","-0.525890","-0.7255112","-0.525890","-0.7239161","-0.525890","-0.6393932","-0.525890","-0.7900756","-0.525890","-0.7960136","-0.5142129","-0.5629351"," 0.8297386","-0.5250101"," 1.4063185","-0.5447682"
"6","Yes","-0.4398853","-0.99233158"," 1.1594633743","-6.451559e-01","-1.0094870","-0.9665537","-0.6539655"," 0.3274151","-0.3274151"," 1.1706356"," 1.1290216","-0.525890","-0.525890","-0.633888","-0.525890","-0.7255112","-0.525890"," 1.3811794","-0.525890","-0.6393932","-0.525890"," 1.2655219","-0.525890"," 1.2560815","-0.5142129","-0.5629351"," 0.8297386","-0.5250101"," 1.4063185","-0.5447682"
"7","No","-0.4398853","-0.42228696"," 0.8088491008","-1.469384e-01"," 0.9904615","-0.9665537"," 1.5289155"," 0.3274151","-0.3274151"," 1.1706356"," 1.1290216","-0.525890","-0.525890","-0.633888","-0.525890"," 1.3781427","-0.525890","-0.7239161","-0.525890","-0.6393932","-0.525890"," 1.2655219","-0.525890","-0.7960136","-0.5142129","-0.5629351"," 0.8297386"," 1.9044550","-0.7109755","-0.5447682"
"8","No","-0.4398853","-0.91089664","-1.1635638970","-8.740296e-01","-1.0094870","-0.9665537","-0.6539655","-3.0537936"," 3.0537936","-0.8541155","-0.8855969","-0.525890","-0.525890"," 1.577342","-0.525890","-0.7255112","-0.525890","-0.7239161","-0.525890","-0.6393932","-0.525890","-0.7900756","-0.525890","-0.7960136","-0.5142129","-0.5629351","-1.2050277","-0.5250101","-0.7109755"," 1.8353823"
"9","Yes","-0.4398853","-0.17798213"," 1.3306163134"," 3.370462e-01","-1.0094870"," 1.0344568","-0.6539655"," 0.3274151","-0.3274151"," 1.1706356"," 1.1290216","-0.525890","-0.525890","-0.633888","-0.525890","-0.7255112","-0.525890"," 1.3811794","-0.525890"," 1.5637607","-0.525890"," 1.2655219","-0.525890"," 1.2560815","-0.5142129","-0.5629351"," 0.8297386","-0.5250101"," 1.4063185","-0.5447682"
"10","No","-0.4398853"," 1.20641195","-0.2861973739"," 5.320700e-01"," 0.9904615","-0.9665537"," 1.5289155"," 0.3274151","-0.3274151","-0.8541155","-0.8855969","-0.525890","-0.525890"," 1.577342","-0.525890"," 1.3781427","-0.525890","-0.7239161","-0.525890","-0.6393932","-0.525890","-0.7900756","-0.525890","-0.7960136"," 1.9444438","-0.5629351","-1.2050277","-0.5250101","-0.7109755","-0.5447682"
